Ano;Número;Modalidade;Objeto;Estimado;Homologado;Edital;Acompanhar
2023;00021;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa especializada para prestação do serviço, visando alavancar um projeto piloto para implementação de forma inicial de uma contratação de plataforma de serviços em nuvem buscando a melhoria da expertise da equipes de infraestrutura para lidar com as inovações tecnológicas apresentadas pelo cenário mundial, conforme quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 111.206,43;R$ 105.400,00;https://pncp.gov.br/app/editais/00509018000113/2023/000888;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000212023"
2023;00022;Pregão - Eletrônico;O objeto da presente licitação é contratação de Agente de Integração de Estágio, pessoa jurídica especializada na prestação de serviços de recrutamento, seleção e acompanhamento de estudantes para atuarem como estagiários no âmbito do Tribunal Regional Eleitoral de Roraima, com atuação na Sede do TRE-RR e nos Cartórios Eleitorais, conforme exigências estabelecidas no Edital e seus anexos. ;R$ 157.104,00;R$ 45.600,00;https://pncp.gov.br/app/editais/00509018000113/2023/000905;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000222023"
2023;00023;Pregão - Eletrônico;A presente licitação tem como objeto a contratação de serviços de Eletricista, a serem executados de forma contínua, com regime de dedicação exclusiva de mão de obra, conforme especificações e qualidades estabelecidas no edital e no Termo de Referência.;R$ 391.171,59;R$ 352.000,00;https://pncp.gov.br/app/editais/00509018000113/2023/000935;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000232023"
2023;00025;Pregão - Eletrônico;O objeto da presente licitação é a contratação de serviços de manutenção preventiva e corretiva anual e permanente, com fornecimento de materiais e peças de reposição para as centrais de ar condicionado e bebedouros industriais existentes nos prédios da Justiça Eleitoral no Estado de Roraima, conforme condições e exigências estabelecidas no edital e no termo de referência.;R$ 1.055.799,55;R$ 555.000,00;https://pncp.gov.br/app/editais/00509018000113/2023/001075;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000252023"
2023;00026;Pregão - Eletrônico;O objeto da presente licitação é o Registro de Preços para eventual contratação de empresa para a prestação de serviços de locação de veículos automotor, tipo Pick-UP, categoria média, cabine dupla, tração 4x4 com quilometragem livre, para resolver a demanda de transporte de pessoas em serviços, materiais e equipamentos necessários as atividades operacionais do Tribunal Regional Eleitoral de Roraima em deslocamentos dentro do Estado de Roraima.;R$ 1.901.255,40;R$ 1.152.900,00;https://pncp.gov.br/app/editais/00509018000113/2023/001197;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000262023"
2023;00027;Pregão - Eletrônico;Contratação de pessoa jurídica especializada na área de apoio administrativo e de atividades auxiliares para prestação de serviços continuados, compreendendo os postos de GARÇOM e RECEPCIONISTA, com disponibilização de mão de obra em regime de dedicação exclusiva, a serem executados nas dependências da Sede do Tribunal Regional Eleitoral de Roraima, conforme condições e exigências estabelecidas no edital e seus anexos.;R$ 500.782,48;R$ 391.327,97;https://pncp.gov.br/app/editais/00509018000113/2023/001237;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000272023"
2023;00028;Pregão - Eletrônico;Aquisição de cadeiras ergonômicas, conforme condições e exigências estabelecidas no edital e anexo.;R$ 548.456,40;R$ 545.667,30;https://pncp.gov.br/app/editais/00509018000113/2023/001259;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000282023"
2023;00029;Pregão - Eletrônico;Aquisição de materiais/bens de consumo de TIC através de Sistema de Registro de Preços, conforme especificações e quantitativos estabelecidos no Edital e seus anexos.;R$ 318.436,50;R$ 146.335,00;https://pncp.gov.br/app/editais/00509018000113/2023/001356;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000292023"
2023;00030;Pregão - Eletrônico;O objeto da presente licitação é a Contratação de empresa especializada para contratação de subscrição da solução de software de controle de acesso à rede CISCO ISE com instalação e migração da infraestrutura, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;R$ 460.133,00;R$ 305.000,00;https://pncp.gov.br/app/editais/00509018000113/2023/001520;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000302023"
2023;00031;Pregão - Eletrônico;Aquisição de materiais/bens de consumo (elétricos, e hidráulicos) com a finalidade de atender o Tribunal Regional Eleitoral de Roraima, conforme especificações e quantidades indicadas no edital e seus anexos.;R$ 51.379,91;R$ 51.286,00;https://pncp.gov.br/app/editais/00509018000113/2023/001577;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000312023"
2023;00032;Pregão - Eletrônico;Contratação de empresa especializada para prestação do serviço de suporte com repasse de conhecimento para o ambiente computacional de hiperconvergência.;R$ 318.440,76;R$ 313.500,00;https://pncp.gov.br/app/editais/00509018000113/2023/001593;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000322023"
2023;00033;Pregão - Eletrônico;"O objeto da presente licitação contratação de empresa especializada para fornecimento de licença de uso perpétuo do software Bacula Backup Enterprise Server e plugins para compor o processo de cópias de segurança no datacenter do Tribunal Regional Eleitoral de Roraima, em substituição à versão ""Free"" (comunuty) hoje utilizada, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos. ";R$ 631.889,60;R$ 631.800,00;https://pncp.gov.br/app/editais/00509018000113/2023/001656;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000332023"
2023;00034;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa especializada no ramo de engenharia para prestação dos serviços de revitalização dos prédios dos cartórios eleitorais do interior, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;R$ 332.158,44;R$ 261.634,79;https://pncp.gov.br/app/editais/00509018000113/2023/001657;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000342023"
2023;00035;Pregão - Eletrônico;O objeto da presente licitação é a Contratação de empresa especializada para fornecimento e instalação de solução de gestão de vulnerabilidades, visando a continuidade do processo de análise periódica das vulnerabilidades dos ativos de TI conectados à rede do TRE-RR, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;R$ 544.815,02;R$ 495.585,00;https://pncp.gov.br/app/editais/00509018000113/2023/001670;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000352023"
2023;00036;Pregão - Eletrônico;Contratação de empresa para o fornecimento contínuo de combustíveis tipo Gasolina, Diesel comum e Diesel - S10 para o abastecimento dos Grupo Geradores e dos veículos existentes na frota do Tribunal Regional Eleitoral de Roraima.;R$ 2.690.800,00;R$ 2.650.438,00;https://pncp.gov.br/app/editais/00509018000113/2023/001835;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000362023"
2023;00037;Pregão - Eletrônico;O objeto da presente licitação é o registro de preços para eventual aquisição de materiais/bens de consumo (hidráulicos), conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos. ;R$ 46.574,18;R$ 36.332,78;https://pncp.gov.br/app/editais/00509018000113/2023/001996;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000372023"
2023;00038;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa especializada no ramo de engenharia para prestação dos serviços de revitalização do prédio sede do TRE-RR, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;R$ 244.832,75;R$ 191.500,00;https://pncp.gov.br/app/editais/00509018000113/2023/002009;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000382023"
2024;90001;Pregão - Eletrônico;Prestação de serviço de locação de embarcação para atender demandas de deslocamentos referente ao Pleito Eleitoral de 2024 no transportes de servidores e equipamentos via fluvial da Sede do Município de Caracaraí/RR até ou passando pelas comunidades de Santa Maria de Boiaçu, Caicumbi, Sacaí, Terra Preta, Cachoeirinha, Paraná da Floresta e Itaquera e outras localidades, caso seja necessário, situadas ao longo do Baixo Rio Branco, conforme o Termo de Referência.;R$ 310.297,50;NA;https://pncp.gov.br/app/editais/00509018000113/2024/000145;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900012024"
2024;90002;Pregão - Eletrônico;Aquisição de camisas de gola polo bordadas destinadas aos servidores da Justiça Eleitoral de Roraima e camisas em algodão com pintura em serigrafia (silkscreen), com o objetivo de atender aos servidores e colaboradores que atuarão nas Eleições de 2024.;R$ 113.372,50;R$ 40.670,00;https://pncp.gov.br/app/editais/00509018000113/2024/000208;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900022024"
2024;90003;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa para a prestação de serviços de locação de veículos automotor com motorista com quilometragem livre para atender demandas do Tribunal Regional Eleitoral de Roraima em deslocamentos dentro do Estado de Roraima relacionado com as Eleições de 2024, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 827.310,55;NA;https://pncp.gov.br/app/editais/00509018000113/2024/000310;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900032024"
2024;90004;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa para a prestação de serviço de apoio especializado à realização das Eleições de 2024, por meio de Auxiliares Administrativos, com atuação na Sede do TRE-RR, Cartórios Eleitorais e demais unidades de atendimentos ao eleitor, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 771.434,67;NA;https://pncp.gov.br/app/editais/00509018000113/2024/000370;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900042024"
2024;90005;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa para a prestação de serviço de apoio especializado à realização das Eleições de 2024, por meio de Auxiliares Administrativos, com atuação na Sede do TRE-RR, Cartórios Eleitorais e demais unidades de atendimentos ao eleitor, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;R$ 786.366,23;NA;https://pncp.gov.br/app/editais/00509018000113/2024/000635;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900052024"
2024;90006;Pregão - Eletrônico;Aquisição sob demanda de materiais gráficos, tais como banners, panfletos, folders, cartazes e backdrops, além de placas, totens e adesivos.;R$ 491.087,93;R$ 228.345,00;https://pncp.gov.br/app/editais/00509018000113/2024/000695;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900062024"
2024;90007;Pregão - Eletrônico;Aquisição sob demanda de material de consumo, copos plásticos oxibiodegradáveis com a finalidade de atender demandas da Sede do Tribunal Regional Eleitoral de Roraima e Cartórios Eleitorais.;R$ 27.625,00;R$ 16.750,00;https://pncp.gov.br/app/editais/00509018000113/2024/000898;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900072024"
2024;90008;Pregão - Eletrônico;O objeto da presente licitação é a contratação de empresa para a prestação de serviços de locação de veículos automotor com motorista com quilometragem livre para atender demandas do Tribunal Regional Eleitoral de Roraima em deslocamentos dentro do Estado de Roraima relacionado com as Eleições de 2024, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 982.431,30;R$ 895.294,75;https://pncp.gov.br/app/editais/00509018000113/2024/000986;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900082024"
2024;90009;Pregão - Eletrônico;Formação de registro de preços para eventual contratação de empresa para a prestação de serviços de locação de embarcação para atender demandas de deslocamentos referente ao Pleito Eleitoral de 2024 no transportes de servidores e equipamentos via fluvial da Sede do Município de Caracaraí/RR, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 248.238,00;NA;https://pncp.gov.br/app/editais/00509018000113/2024/000988;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900092024"
2024;90010;Pregão - Eletrônico;Aquisição de Material de Consumo (lonas, cordas e galões). ;R$ 22.938,00;NA;https://pncp.gov.br/app/editais/00509018000113/2024/001149;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805900102024"
